company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
GREAT AMERICAN PUB PAOLI,1, 'Tue',,,,
Tria - Rittenhouse,7, 'Mon',2, 'Tue',1, 'Fri'
Krewstown Beverage Center,13, 'Fri',7, 'Sat',4, 'Wed'
Allegro Pizza,1, 'Thu',,,,
A Piermani & Son,8, 'Wed',6, 'Mon',3, 'Tue'
Gypsy Saloon,1, 'Sat',,,,
Pag's Pub,1, 'Wed',,,,
BIG WOODY'S,1, 'Mon',,,,
Hop Angel Brauhaus ,1, 'Tue',,,,
Super Value Beverage,13, 'Mon',9, 'Wed',8, 'Fri'
Paradise by the Slice,12, 'Fri',7, 'Mon',2, 'Sat'
APPLEBEES ROYERSFORD,3, 'Fri',1, 'Wed',,
Guppy's Conshohaken,1, 'Wed',,,,
Jake Solomon,1, 'Sat',,,,
Paoli Beverage,7, 'Tue',4, 'Mon',2, 'Fri'
Pourhouse North Wales,6, 'Mon',5, 'Fri',3, 'Tue'
WEGMANS DOWNINGTOWN,61, 'Sun',6, 'Mon',4, 'Fri'
Grace Tavern,3, 'Fri',1, 'Wed',,
Pavlish Beverage,10, 'Mon',7, 'Tue',5, 'Fri'
Rader Company (Distributor),7, 'Fri',6, 'Tue',5, 'Sat'
New Wave,3, 'Tue',2, 'Fri',1, 'Thu'
Mad Mex Wynnewood,9, 'Mon',,,,
Amada,4, 'Tue',2, 'Wed',1, 'Thu'
Palm Restaurant,2, 'Mon',1, 'Thu',,
Havertown Beverage,3, 'Tue',2, 'Fri',1, 'Mon'
Green Parrot,2, 'Tue',1, 'Wed',,
CHICKIES & PETE'S EAGLEVLLE (%%),3, 'Mon',1, 'Thu',,
Riverside Beverage,2, 'Mon',1, 'Wed',,
Goshen Beverage ,14, 'Tue',8, 'Fri',4, 'Mon'
PJ WHELIHANS READING,2, 'Tue',1, 'Mon',,
NEWTOWN SQUARE BEVERAGE,10, 'Tue',5, 'Fri',3, 'Sat'
The Bards,2, 'Tue',1, 'Wed',,
MORGANTOWN BEVERAGE ,6, 'Thu',3, 'Mon',,
Rembrandts,1, 'Mon',,,,
Finn McCools Ale House,1, 'Wed',,,,
Juniper  Commons %$%$,1, 'Thu',,,,
CITY TAP ARCH ST,5, 'Tue',2, 'Wed',1, 'Mon'
CAESARS VILLAGE APTS(%$%),1, 'Fri',,,,
Taproom on 19th Street,4, 'Thu',3, 'Mon',1, 'Sun'
151 SALOON,3, 'Tue',1, 'Sun',,
Rocko's Beverage,18, 'Fri',6, 'Tue',5, 'Sat'
Chris' Jazz Cafe,2, 'Tue',1, 'Fri',,
Magerks Pub Horsham,7, 'Mon',4, 'Wed',2, 'Tue'
Comcast Corp. ($%$%),1, 'Tue',,,,
Rockland Beverage,1, 'Mon',,,,
WEGMANS CONCORDVILLE,11, 'Sun',9, 'Fri',3, 'Mon'
Cantina - Dos Segundos,2, 'Tue',1, 'Fri',,
Convenient Food Market,1, 'Tue',,,,
Hunlock creek,0, 'Mon',,,,
Double Edge Sports Grill,11, 'Fri',2, 'Tue',1, 'Sat'
SOUTH HOUSE,2, 'Wed',1, 'Tue',,
D & S BEER DISTRIBUTORS,5, 'Fri',4, 'Mon',2, 'Wed'
El Camino (%%%%),3, 'Wed',1, 'Mon',,
Nevulis Bev (Schnecksville),3, 'Tue',1, 'Fri',,
Waywood Beverage Center,16, 'Mon',13, 'Tue',11, 'Fri'
Thriftway Port Richmond,38, 'Fri',11, 'Sat',9, 'Mon'
JOEY'S PIZZA,3, 'Tue',2, 'Mon',1, 'Wed'
Township Line Beverage,24, 'Tue',13, 'Mon',7, 'Fri'
Fat Ham,8, 'Mon',2, 'Tue',1, 'Sat'
Llama Tooth,3, 'Thu',2, 'Fri',1, 'Wed'
Dawson Street Pub,1, 'Mon',,,,
Stockertown Beverage,3, 'Tue',,,,
Dru Herger,1, 'Fri',,,,
BLARNEY STONE WEST CHESTER,3, 'Tue',2, 'Wed',1, 'Thu'
ANTHONY'S COAL FIRED EXTON (9999),1, 'Tue',,,,
Old Eagle Tavern,2, 'Tue',1, 'Wed',,
London Grill,1, 'Thu',,,,
PRINTZ BEV CO,2, 'Tue',1, 'Sun',,
Institute Bar (%%%%),3, 'Thu',2, 'Fri',1, 'Wed'
McGillicuddy's(Havertown),5, 'Thu',1, 'Wed',,
SLIGO,10, 'Tue',1, 'Sun',,
Mineo Brewer's Outlet,8, 'Tue',6, 'Fri',4, 'Mon'
GIANT ST DAVID'S ,2, 'Wed',1, 'Tue',,
Tomato Bistro,2, 'Mon',1, 'Wed',,
JET ROCK (ESCROW),2, 'Thu',1, 'Tue',,
Eulogy Belgian Tavern,2, 'Thu',1, 'Wed',,
Bainbridge Street Barrel House,14, 'Sat',11, 'Mon',6, 'Tue'
Speedy Beverage,1, 'Wed',,,,
BRICK AND MORTAR,2, 'Tue',1, 'Wed',,
ANASTASI RAW BAR,3, 'Thu',2, 'Mon',1, 'Wed'
Yardly Buisness Association,1, 'Thu',,,,
Tri Beer,3, 'Mon',2, 'Tue',1, 'Wed'
Wayne Beverage Exchange,8, 'Tue',5, 'Mon',2, 'Fri'
Roosevelt's (Bethlehem),2, 'Tue',1, 'Wed',,
HAN DYNASTY U. CITY,1, 'Wed',,,,
Hamilton Kitchen & Bar,3, 'Tue',,,,
WHOLE FOODS DEVON,34, 'Sat',22, 'Fri',15, 'Sun'
Split Rail Tavern,4, 'Fri',3, 'Tue',2, 'Mon'
Manayunk Tavern,1, 'Wed',,,,
Cascario's,3, 'Tue',1, 'Wed',,
Kelly's Taproom,2, 'Mon',1, 'Wed',,
Foodery - ROXBORO ,1, 'Thu',,,,
Domestic & Imported Beverage Inc.,17, 'Tue',14, 'Mon',12, 'Fri'
Drake Tavern,5, 'Fri',3, 'Mon',1, 'Tue'
Station Tap House Doylestown,3, 'Wed',2, 'Thu',1, 'Tue'
Penn Taproom,1, 'Fri',,,,
GAN INC,1, 'Mon',,,,
Philadelphia Game Labs,2, 'Sat',1, 'Wed',,
Trevose Beer,3, 'Mon',2, 'Tue',1, 'Wed'
WYOMING VALLEY BEV,9, 'Tue',2, 'Wed',,
GYPSY BLUE,2, 'Thu',1, 'Tue',,
DUNDERBAK'S,2, 'Tue',,,,
Bar 31,2, 'Mon',1, 'Tue',,
Mari's Six Pac & More,17, 'Fri',12, 'Mon',6, 'Tue'
Pottstown Beer Fest,1, 'Wed',,,,
Southern Cross Kitchen,2, 'Mon',1, 'Wed',,
Kings Corner,3, 'Mon',1, 'Thu',,
Bell Beverage Inc.,7, 'Fri',5, 'Tue',3, 'Thu'
Weis Pennsburg,4, 'Tue',2, 'Wed',1, 'Sun'
Taylor Beverage,2, 'Tue',,,,
La Peg (%$%$),8, 'Wed',3, 'Tue',2, 'Thu'
Bottle Bar East,19, 'Fri',12, 'Wed',8, 'Sat'
K'Town Pub,5, 'Thu',3, 'Mon',1, 'Tue'
Margarita's,4, 'Fri',2, 'Thu',,
Steam Pub,4, 'Wed',2, 'Tue',1, 'Thu'
WILLIAM STREET COMMONS,1, 'Thu',,,,
Edgemont Beer Dist,19, 'Fri',16, 'Tue',3, 'Wed'
Rittenhouse Hotel (9999),4, 'Fri',1, 'Wed',,
GIANT NORTH WALES,12, 'Sat',4, 'Sun',1, 'Wed'
WEGMANS NAZARETH,16, 'Mon',9, 'Tue',5, 'Fri'
SAINT DAVIDS GOLF CLUB,4, 'Tue',1, 'Wed',,
Earth Bread & Brewery,1, 'Wed',,,,
CICIONE BEVERAGE,2, 'Fri',1, 'Tue',,
Isaac Newton's,11, 'Wed',7, 'Mon',4, 'Fri'
ABES BETHLEHEM,15, 'Fri',13, 'Tue',10, 'Mon'
Franklin Mortgage Inv,12, 'Wed',7, 'Sat',6, 'Thu'
Bistro on Bridge,6, 'Wed',4, 'Mon',3, 'Tue'
Flannigan's Boathouse (Conshy),21, 'Mon',5, 'Tue',4, 'Wed'
Pub & Kitchen($%$%),3, 'Fri',1, 'Tue',,
Society Hill Beverage,26, 'Fri',17, 'Mon',9, 'Sat'
Urban Outfitters Beer Club,1, 'Thu',,,,
Loading Dock Bar & Grill,6, 'Tue',2, 'Fri',1, 'Sat'
Doobie's Bar,1, 'Tue',,,,
Beer City - Quakertown,9, 'Mon',6, 'Tue',4, 'Wed'
Quotations,1, 'Mon',,,,
Revolution House,5, 'Fri',1, 'Tue',,
University of THE ARTS(99),1, 'Fri',,,,
VIA MARCONI PIZZA PUB,7, 'Fri',4, 'Wed',3, 'Mon'
Slainte,1, 'Thu',,,,
Oyster House,1, 'Wed',,,,
Lansdale Beverage,2, 'Wed',,,,
WHOLE FOODS GLEN MILLS,24, 'Sat',22, 'Fri',11, 'Sun'
Teca Restaurant,1, 'Tue',,,,
Magerks Fort Washington,5, 'Mon',1, 'Wed',,
Jamison Pourhouse,2, 'Tue',1, 'Wed',,
Gullifty's,1, 'Wed',,,,
CITY TAP UNIVERSITY CITY,8, 'Thu',4, 'Mon',3, 'Tue'
Strange Brew Tavern,8, 'Tue',1, 'Thu',,
PIETROS PIZZERIA,4, 'Thu',3, 'Tue',1, 'Wed'
Corner Foodery,1, 'Mon',,,,
Cherry Street Tavern,2, 'Sat',1, 'Tue',,
SHOPRITE DREXEL HILL ,4, 'Tue',3, 'Sun',2, 'Mon'
Frankford Beverage,1, 'Fri',,,,
The Lucky Well,1, 'Wed',,,,
Good Stuff Eatery,2, 'Thu',1, 'Wed',,
Tir Na Nog,1, 'Sat',,,,
Mike's Tavern,8, 'Thu',7, 'Fri',4, 'Wed'
Oakmont National Pub,3, 'Tue',2, 'Wed',1, 'Thu'
FERMENTED PRODUCTIONS,4, 'Fri',1, 'Thu',,
Maxwells on Main Street,9, 'Fri',7, 'Tue',6, 'Thu'
Fountain Porter,3, 'Wed',1, 'Sat',,
Womelsdorf Beverage,17, 'Thu',6, 'Wed',5, 'Fri'
The Works / Building 24,8, 'Mon',6, 'Fri',3, 'Tue'
Chal-Brit Beverage ,4, 'Tue',2, 'Wed',1, 'Fri'
Beer Mart - Morrisville,2, 'Tue',1, 'Fri',,
Superior Beverage,41, 'Mon',8, 'Fri',5, 'Sun'
Bensalem Beer Distributors,32, 'Fri',13, 'Wed',4, 'Sat'
Phila Brewing Co.,1, 'Thu',,,,
BERKS BEER OUTLET,1, 'Mon',,,,
Harlan Beverge,16, 'Fri',10, 'Tue',5, 'Thu'
Memphis Tap Room,2, 'Wed',1, 'Thu',,
